5,"1","2014-05-13T23:58:30.457",9,448,"2014-05-14T00:36:31.077","How can I do simple machine learning without hard-coding behavior?","<machine-learning>",1,1,1,"2014-05-14T14:40:25.950"
7,"1","2014-05-14T00:11:06.457",4,388,"2014-05-16T13:45:00.237","What open-source books (or other materials) provide a relatively thorough overview of data science?","<education><open-source>",3,4,1,"2014-05-14T08:40:54.950"
9,"2","2014-05-14T00:36:31.077",5,"","2014-05-14T00:36:31.077","","","",0,"",""
10,"2","2014-05-14T00:53:43.273",12,"","2014-05-14T00:53:43.273","","","",1,"",""
14,"1","2014-05-14T01:25:59.677",21,1243,"2014-06-20T17:36:05.023","Is Data Science the Same as Data Mining?","<data-mining><definitions>",4,1,4,""
15,"1","2014-05-14T01:41:23.110",2,543,"2014-05-14T01:41:23.110","What are the advantages and disadvantages of SQL versus NoSQL in data science?","<databases>",0,1,"","2014-05-14T07:41:49.437"
16,"1","2014-05-14T01:57:56.880",18,322,"2014-05-17T16:24:14.523","Use liblinear on big data for semantic analysis","<machine-learning><bigdata><libsvm>",2,0,"",""
17,"5","2014-05-14T02:49:14.580",0,"","2014-05-16T13:44:53.470","","","",0,"",""
18,"4","2014-05-14T02:49:14.580",0,"","2014-05-14T02:49:14.580","","","",0,"",""
19,"1","2014-05-14T03:56:20.963",73,7993,"2018-05-01T13:04:43.563","How big is big data?","<bigdata><scalability><efficiency><performance>",12,5,20,""
20,"1","2014-05-14T05:37:46.780",17,311,"2017-08-29T11:26:37.137","the data on our relational DBMS is getting big, is it the time to move to NoSQL?","<nosql><relational-dbms>",5,1,1,""
21,"2","2014-05-14T05:44:29.340",29,"","2014-05-14T05:44:29.340","","","",0,"",""
22,"1","2014-05-14T05:58:21.927",99,105748,"2018-07-11T11:22:26.170","K-Means clustering for mixed numeric and categorical data","<data-mining><clustering><octave><k-means><categorical-data>",9,3,80,""
23,"2","2014-05-14T06:06:13.603",8,"","2014-05-14T06:06:13.603","","","",0,"",""
24,"2","2014-05-14T06:26:27.163",89,"","2016-11-29T20:06:51.543","","","",9,"",""
25,"2","2014-05-14T07:26:04.390",7,"","2014-05-14T07:26:04.390","","","",0,"",""
26,"2","2014-05-14T07:38:31.103",14,"","2014-05-14T11:03:51.577","","","",0,"",""
27,"2","2014-05-14T07:53:02.560",10,"","2014-05-14T08:03:37.890","","","",0,"",""
28,"2","2014-05-14T07:55:40.133",6,"","2014-05-14T07:55:40.133","","","",0,"",""
29,"2","2014-05-14T07:56:34.437",24,"","2014-05-14T07:56:34.437","","","",0,"",""
30,"2","2014-05-14T08:03:28.117",20,"","2014-05-14T18:30:59.180","","","",3,"",""
31,"1","2014-05-14T08:38:07.007",9,1190,"2014-05-15T05:49:39.140","Clustering customer data stored in ElasticSearch","<data-mining><clustering>",1,4,1,""
33,"2","2014-05-14T09:34:15.477",6,"","2017-08-29T11:26:37.137","","","",0,"",""
